DMA_ID,DMA
553,MARQUETTE
813,MEDFORD-KLAMATH FALLS
640,MEMPHIS
711,MERIDIAN
528,MIAMI-FT. LAUDERDALE
617,MILWAUKEE
613,MINNEAPOLIS-ST. PAUL
687,MINOT-BISMARCK-DICKINSON
762,MISSOULA
686,MOBILE-PENSACOLA
628,MONROE-EL DORADO
828,MONTEREY-SALINAS
698,MONTGOMERY
659,NASHVILLE
622,NEW ORLEANS
501,NEW YORK
544,NORFOLK-PORTSMTH-NEWPT NWS
740,NORTH PLATTE
633,ODESSA-MIDLAND
650,OKLAHOMA CITY
652,OMAHA
534,ORLANDO-DAYTONA BCH-MELBRN
631,OTTUMWA-KIRKSVILLE
632,PADUCAH-C.GIRD-HARBG-MT VN
804,PALM SPRINGS
656,PANAMA CITY
597,PARKERSBURG
675,PEORIA-BLOOMINGTON
504,PHILADELPHIA
753,PHOENIX
508,PITTSBURGH
820,"PORTLAND, OR"
500,PORTLAND-AUBURN
552,PRESQUE ISLE
521,PROVIDENCE-NEW BEDFORD
717,QUINCY-HANNIBAL-KEOKUK
560,RALEIGH-DURHAM
764,RAPID CITY
811,RENO
556,RICHMOND-PETERSBURG
573,ROANOKE-LYNCHBURG
538,"ROCHESTER, NY"
611,ROCHESTR-MASON CITY-AUSTIN
610,ROCKFORD
862,SACRAMNTO-STKTN-MODESTO
576,SALISBURY
770,SALT LAKE CITY
661,SAN ANGELO
641,SAN ANTONIO
825,SAN DIEGO
807,SAN FRANCISCO-OAK-SAN JOSE
999,"SAN JUAN, PR"
855,SANTABARBRA-SANMAR-SANLUOB
507,SAVANNAH
819,SEATTLE-TACOMA
657,SHERMAN-ADA
612,SHREVEPORT
624,SIOUX CITY
725,SIOUX FALLS(MITCHELL)
588,SOUTH BEND-ELKHART
881,SPOKANE
619,"SPRINGFIELD, MO"
543,SPRINGFIELD-HOLYOKE
638,ST. JOSEPH
609,ST. LOUIS
555,SYRACUSE
530,TALLAHASSEE-THOMASVILLE
539,TAMPA-ST. PETE (SARASOTA)
581,TERRE HAUTE
547,TOLEDO
605,TOPEKA
540,TRAVERSE CITY-CADILLAC
531,"TRI-CITIES, TN-VA"
789,TUCSON
671,TULSA
760,TWIN FALLS
709,TYLER-LONGVIEW(LFKN&NCGD)
526,UTICA
626,VICTORIA
625,WACO-TEMPLE-BRYAN
511,"WASHINGTON, DC"
549,WATERTOWN
705,WAUSAU-RHINELANDER
548,WEST PALM BEACH-FT. PIERCE
554,WHEELING-STEUBENVILLE
627,WICHITA FALLS & LAWTON
678,WICHITA-HUTCHINSON PLUS
577,WILKES BARRE-SCRANTON
550,WILMINGTON
810,YAKIMA-PASCO-RCHLND-KNNWCK
536,YOUNGSTOWN
771,YUMA-EL CENTRO
596,ZANESVILLE
